carat,cut,color,clarity,depth,table,price,x,y,z
0.9,Premium,I,VS2,60.1,59,3663,6.37,6.25,3.79
1.09,Premium,I,SI2,61.3,55,4120,6.66,6.62,4.07
0.93,Very Good,F,SI1,58.8,60,4081,6.37,6.49,3.78
0.71,Ideal,F,VS1,61.3,56,3480,5.76,5.78,3.53
1.0,Good,F,SI1,63.3,61,4712,6.29,6.31,3.99
1.05,Premium,H,SI1,60.2,62,5139,6.57,6.52,3.94
0.52,Ideal,D,VVS2,61.5,55,3284,5.19,5.22,3.2
0.34,Ideal,I,SI1,62.3,55,589,4.47,4.42,2.77
0.73,Very Good,D,VS2,60.5,59,3411,5.76,5.84,3.51
1.21,Very Good,J,VS2,62.4,58,4191,6.79,6.83,4.25
1.06,Premium,I,SI1,61.9,59,4452,6.52,6.5,4.03
1.17,Premium,J,SI1,61.9,58,4423,6.77,6.73,4.18
0.9,Very Good,I,SI2,61.5,61,3057,6.13,6.16,3.78
1.02,Premium,H,VS2,61.2,58,5217,6.47,6.5,3.97
0.85,Ideal,E,SI1,62.8,56,3503,6.05,6.02,3.79
0.77,Premium,G,VS2,61.3,57,2803,5.93,5.88,3.62
0.9,Very Good,G,SI2,63.3,59,3107,6.12,6.07,3.86
0.9,Ideal,G,VS2,60.8,57,4884,6.26,6.17,3.78
1.01,Premium,E,VS2,60.8,58,4706,6.43,6.4,3.9
1.09,Premium,H,SI1,61.8,58,4871,6.63,6.58,4.08
0.91,Premium,D,SI2,62.0,62,3403,6.25,6.16,3.85
0.84,Ideal,D,SI1,61.5,54,3265,6.07,6.13,3.75
0.9,Premium,H,VS2,62.8,58,3810,6.17,6.13,3.86
0.85,Ideal,E,VS2,59.3,57,3924,6.19,6.22,3.68
0.92,Very Good,D,SI2,63.3,59,3823,6.18,6.12,3.89
0.37,Premium,J,VS2,60.7,60,583,4.68,4.65,2.83
0.76,Ideal,E,SI1,62.7,54,2858,5.88,5.83,3.67
1.01,Good,G,SI2,64.0,59,3461,6.34,6.31,4.05
0.81,Ideal,D,VS2,62.1,56,4087,6.01,5.98,3.72
0.53,Ideal,F,VVS1,61.6,56,2922,5.24,5.18,3.21
1.04,Ideal,F,SI2,62.1,57,4754,6.48,6.46,4.02
1.02,Premium,H,I1,62.5,60,3199,6.41,6.39,4.0
0.91,Good,D,SI2,63.8,58,3781,6.09,6.04,3.87
0.8,Ideal,D,SI2,61.9,54,3154,6.0,5.95,3.7
1.1,Very Good,G,SI2,63.4,56,4066,6.56,6.54,4.15
0.91,Very Good,F,SI1,61.4,58,3936,6.19,6.23,3.81
0.9,Good,F,VS2,64.3,57,4617,6.07,6.09,3.91
0.91,Very Good,E,SI2,63.0,56,3772,6.12,6.16,3.87
0.79,Ideal,E,SI1,61.6,55,3715,5.94,6.04,3.69
1.03,Premium,J,SI2,62.8,58,3634,6.48,6.41,4.05
0.59,Ideal,E,VVS2,61.8,57,3026,5.35,5.4,3.32
1.22,Premium,I,SI2,61.7,59,4735,6.84,6.8,4.21
1.01,Very Good,F,SI1,60.8,59,4869,6.49,6.53,3.96
0.35,Ideal,I,VS1,62.1,54,571,4.54,4.57,2.83
0.36,Ideal,G,VS2,62.3,54,579,4.59,4.62,2.87
1.01,Premium,H,SI2,61.1,60,3054,6.46,6.41,3.93
0.64,Ideal,E,VVS2,62.1,53,3157,5.51,5.54,3.43
0.71,Ideal,F,VS1,62.1,56,3457,5.69,5.75,3.55
1.15,Good,J,SI2,63.8,60,3733,6.63,6.56,4.21
1.06,Very Good,F,SI1,59.5,63,4488,6.62,6.59,3.93
1.01,Very Good,F,SI2,62.3,59,4384,6.31,6.37,3.95
0.32,Premium,G,VS2,62.3,60,561,4.37,4.4,2.73
1.0,Good,I,VS2,61.7,60,4761,6.29,6.35,3.9
1.1,Premium,G,SI2,63.0,59,3696,6.5,6.47,0.0
0.8,Very Good,H,VS2,59.1,59,2953,6.02,6.07,3.57
1.0,Very Good,E,SI2,59.1,61,4004,6.39,6.44,3.79
0.7,Ideal,E,VS2,61.0,56,3504,5.74,5.78,3.52
0.73,Ideal,G,VVS1,61.9,57,3669,5.76,5.8,3.58
0.9,Good,E,SI2,61.6,61,3595,6.12,6.16,3.78
0.9,Good,H,VS1,62.4,55,4409,6.09,6.16,3.82
1.02,Premium,G,I1,60.3,58,2815,6.55,6.5,3.94
0.73,Very Good,E,SI1,61.3,58,2871,5.76,5.83,3.55
0.62,Ideal,G,IF,60.5,57,2868,5.52,5.56,3.35
0.91,Very Good,H,VS1,62.1,59,4370,6.17,6.2,3.84
1.0,Very Good,E,SI2,59.5,63,4004,6.41,6.47,3.83
0.38,Very Good,E,SI2,62.5,61,590,4.59,4.63,2.88
0.76,Premium,E,SI1,61.1,58,2897,5.91,5.85,3.59
1.35,Good,I,SI2,57.9,60,4423,7.33,7.29,4.23
1.01,Fair,D,SI2,64.6,56,3003,6.31,6.24,4.05
1.02,Ideal,H,SI2,60.7,57,4319,6.51,6.54,3.96
1.21,Fair,J,SI2,64.6,59,3984,6.74,6.64,4.32
1.11,Ideal,H,SI1,62.0,56,5102,6.65,6.61,4.11
1.01,Good,D,VS2,64.1,57,4466,6.32,6.22,4.02
1.01,Premium,G,SI1,63.0,60,4118,6.34,6.3,3.98
0.9,Ideal,E,SI2,62.6,56,3200,6.15,6.06,3.82
0.78,Ideal,G,SI1,62.2,55,3267,5.87,5.9,3.66
0.91,Very Good,D,SI1,61.5,59,4239,6.18,6.25,3.82
0.78,Premium,D,SI1,60.9,55,3145,6.0,5.93,3.63
0.27,Ideal,G,VVS2,60.8,57,566,4.18,4.2,2.54
1.21,Premium,I,SI1,61.0,56,4404,6.91,6.87,4.2
0.3,Good,H,SI1,63.8,55,554,4.26,4.2,2.7
1.0,Very Good,E,SI1,63.3,57,5051,6.3,6.36,4.01
0.9,Good,G,SI1,62.2,63,3816,6.08,6.1,3.78
1.05,Very Good,H,SI2,63.0,59,4158,6.44,6.48,4.07
0.72,Ideal,D,SI1,61.9,55,2903,5.78,5.75,3.57
0.76,Very Good,H,IF,62.6,57,3367,5.8,5.83,3.64
0.71,Very Good,D,VVS2,61.0,56,4363,5.75,5.79,3.52
1.05,Ideal,I,SI2,60.9,57,4163,6.55,6.62,4.01
1.01,Good,G,SI2,59.3,62,4397,6.51,6.58,3.88
0.25,Ideal,E,VVS2,61.6,57,576,4.08,4.1,2.52
1.12,Premium,G,SI2,61.0,60,3838,6.7,6.64,4.07
1.06,Premium,F,SI2,62.5,58,4719,6.54,6.41,4.05
1.07,Ideal,H,SI1,62.0,57,4830,6.51,6.56,4.05
0.91,Very Good,G,SI2,60.0,57,3531,6.27,6.32,3.78
0.91,Good,I,VS2,64.3,58,2863,6.05,6.09,3.9
0.72,Ideal,G,VVS2,61.6,55,3002,5.78,5.77,3.56
0.7,Good,G,VVS1,59.9,61,2899,5.75,5.81,3.46
0.72,Ideal,E,VVS2,62.1,56,4285,5.72,5.77,3.57
0.71,Ideal,E,VS2,62.5,55,3247,5.67,5.73,3.56
0.72,Ideal,E,VS2,62.0,57,2843,5.71,5.74,3.55
0.95,Very Good,J,VVS2,60.5,59,4098,6.33,6.36,3.84
0.95,Ideal,J,SI1,63.0,56,3275,6.32,6.26,3.96
0.31,Ideal,H,SI1,61.4,55,573,4.44,4.36,2.7
1.16,Very Good,D,SI2,62.5,60,5044,6.64,6.7,4.17
0.77,Very Good,H,SI1,61.7,56,2830,5.84,5.89,3.62
1.0,Good,H,SI1,63.8,53,4596,6.39,6.27,4.04
0.9,Premium,F,SI1,62.6,60,4103,6.11,6.06,3.81
0.77,Premium,G,VS2,61.2,58,2780,5.9,5.93,3.62
0.9,Ideal,F,VS2,62.6,56,4801,6.16,6.23,3.88
0.9,Good,G,SI1,62.5,62,4008,6.04,6.09,3.79
0.9,Very Good,H,VS1,62.5,56,4021,6.13,6.19,3.85
1.06,Premium,F,SI1,61.9,58,4862,6.58,6.53,4.06
0.73,Ideal,D,VS2,62.7,53,3412,5.76,5.79,3.62
1.0,Good,F,SI2,64.1,58,3799,6.35,6.26,4.04
1.0,Fair,D,SI2,69.3,58,2974,5.96,5.87,4.1
0.7,Ideal,E,VS2,60.5,59,3201,5.72,5.75,3.47
0.7,Very Good,G,VVS1,62.8,56,3276,5.63,5.67,3.55
0.76,Ideal,G,VS2,61.5,55,3183,5.92,5.88,3.63
0.27,Very Good,F,VVS2,60.8,59,591,4.17,4.19,2.54
0.96,Very Good,F,SI2,59.8,59,4218,6.38,6.45,3.84
1.04,Ideal,G,SI2,61.4,57,4455,6.54,6.48,4.0
0.72,Ideal,F,VS2,62.6,56,2956,5.75,5.72,3.59
1.05,Premium,H,SI2,63.0,59,4234,6.48,6.44,4.07
1.0,Good,F,SI2,63.7,57,3977,6.36,6.32,4.04
1.0,Premium,H,SI1,62.2,51,3511,6.47,6.4,4.0
0.22,Premium,F,SI1,60.4,61,342,3.88,3.84,2.33
0.72,Premium,E,SI1,60.9,60,2863,5.78,5.74,3.51
0.9,Very Good,G,SI2,62.2,60,3256,6.09,6.2,3.82
1.21,Ideal,I,SI2,60.7,56,4880,6.86,6.91,4.18
0.71,Ideal,E,VS2,62.7,57,2817,5.66,5.64,3.54
0.9,Very Good,H,VS1,61.8,56,4136,6.16,6.18,3.81
1.21,Very Good,H,SI2,62.1,60,5190,6.77,6.82,4.22
0.65,Ideal,E,VVS2,62.1,57,3023,5.55,5.6,3.46
0.88,Premium,D,SI2,60.9,61,3390,6.16,6.13,3.74
1.0,Very Good,E,SI2,61.9,59,4311,6.39,6.43,3.97
1.12,Very Good,I,VS2,63.9,52,4914,6.58,6.65,4.23
1.0,Very Good,E,SI2,59.6,62,4685,6.45,6.51,3.86
1.2,Ideal,I,SI2,59.6,61,4890,6.95,6.97,4.15
0.71,Ideal,F,VS1,60.4,57,3284,5.78,5.81,3.5
1.01,Good,E,SI1,64.3,59,4181,6.31,6.28,4.05
0.73,Ideal,E,SI1,61.4,56,2886,5.79,5.81,3.56
1.2,Good,J,VS2,64.3,56,4637,6.65,6.57,4.25
1.01,Very Good,H,VS1,63.5,56,4412,6.32,6.27,4.0
1.0,Good,D,SI2,61.1,61,4727,6.37,6.43,3.91
1.02,Very Good,H,SI1,63.5,55,4487,6.31,6.35,4.02
1.02,Very Good,G,SI2,63.8,55,4501,6.37,6.4,4.07
0.9,Very Good,H,VS1,62.9,58,4309,6.06,6.12,3.83
0.91,Good,F,SI1,63.7,58,3924,6.17,6.1,3.91
1.1,Premium,I,SI2,62.4,59,3696,6.55,6.51,4.08
0.32,Ideal,G,VS1,61.8,55,559,4.42,4.45,2.74
0.23,Very Good,F,VS1,60.0,57,402,4.0,4.03,2.41
0.7,Good,F,VVS2,62.5,58,3445,5.68,5.75,3.57
0.9,Very Good,D,SI1,63.4,57,4447,6.13,6.1,3.88
1.11,Premium,I,SI1,61.9,58,3978,6.63,6.61,4.1
0.91,Premium,E,SI1,61.9,61,4138,6.12,6.1,3.78
0.91,Ideal,H,VS2,62.6,57,4033,6.2,6.23,3.89
1.74,Very Good,H,I1,63.2,55,4677,7.62,7.59,4.8
0.85,Ideal,G,SI2,62.0,57,2913,6.1,6.02,3.76
0.9,Very Good,H,VVS2,59.9,61,4637,6.29,6.19,3.74
0.34,Premium,G,VS2,60.2,58,596,4.51,4.56,2.73
0.53,Ideal,E,VVS1,61.5,54,3352,5.25,5.23,3.22
0.84,Very Good,D,SI1,62.9,58,3816,5.93,6.02,3.76
1.01,Very Good,G,SI1,63.5,60,4271,6.41,6.38,3.92
1.2,Very Good,H,SI2,63.5,57,5221,6.67,6.71,4.25
0.71,Ideal,D,VS2,62.4,56,3372,5.74,5.7,3.57
1.06,Ideal,I,SI1,61.2,56,4749,6.6,6.57,4.03
0.91,Good,H,VVS2,65.5,57,4205,6.01,6.11,3.97
1.03,Premium,H,SI1,60.7,60,4384,6.61,6.53,3.99
0.77,Very Good,F,VVS1,61.1,57,4304,5.91,5.94,3.62
1.02,Ideal,H,SI2,59.8,58,4742,6.55,6.59,3.93
1.01,Premium,H,SI2,62.3,60,3782,6.39,6.32,3.96
1.01,Very Good,G,SI1,62.9,61,4588,6.36,6.4,4.01
0.75,Very Good,E,SI1,61.1,59,3005,5.85,5.9,3.59
1.02,Good,F,SI2,64.2,61,3633,6.3,6.21,4.02
0.25,Very Good,E,VVS2,60.9,59,575,4.03,4.11,2.48
0.8,Premium,D,SI1,61.7,58,3312,5.96,5.93,3.67
1.01,Good,E,SI2,63.7,58,4666,6.32,6.36,4.04
1.0,Ideal,E,SI2,62.9,55,4808,6.38,6.41,4.02
1.1,Ideal,F,I1,61.3,57,3623,6.62,6.68,4.08
1.2,Premium,J,SI2,61.7,57,3782,6.85,6.79,4.21
1.0,Very Good,H,SI1,62.3,60,4702,6.34,6.38,3.96
0.9,Premium,D,SI2,61.2,62,4133,6.22,6.07,3.76
1.01,Good,H,SI2,57.9,59,3903,6.64,6.59,3.83
0.3,Very Good,D,SI2,63.3,57,574,4.3,4.26,2.71
1.0,Very Good,D,SI2,63.2,57,4628,6.24,6.32,3.97
0.9,Good,D,SI2,62.2,63,4382,6.14,6.23,3.85
0.9,Very Good,F,SI1,61.1,56,3893,6.23,6.3,3.83
0.96,Very Good,G,VS1,60.5,63,4892,6.32,6.28,3.81
0.93,Good,D,SI2,59.2,62,3744,6.36,6.38,3.77
1.06,Premium,G,SI1,61.9,55,5043,6.61,6.54,4.07
0.68,Very Good,G,IF,62.7,56,3143,5.56,5.6,3.5
1.14,Ideal,E,SI2,62.6,56,5005,6.69,6.63,4.17
0.36,Premium,F,SI1,60.2,58,576,4.6,4.63,2.78
0.34,Premium,J,VS2,62.3,60,417,4.46,4.49,2.79
0.33,Premium,I,SI1,62.8,58,572,4.43,4.39,2.77
0.83,Very Good,F,SI1,63.1,58,3118,5.98,5.94,3.76
0.24,Very Good,F,VS1,62.0,56,417,3.94,3.99,2.46
1.17,Ideal,I,SI2,61.8,54,4999,6.78,6.82,4.2
1.01,Good,G,SI2,63.7,59,4135,6.38,6.31,4.04
0.9,Good,G,SI1,64.1,59,3816,6.04,6.08,3.88
0.91,Very Good,I,VVS2,63.5,59,3618,6.1,6.06,3.86
1.1,Good,G,SI1,63.4,57,4997,6.52,6.55,4.14
0.9,Very Good,I,IF,62.6,59,4596,6.12,6.15,3.84
1.09,Very Good,E,SI2,60.9,59,5035,6.61,6.75,4.07
1.28,Good,H,SI2,56.8,62,4086,7.22,7.16,4.08
1.31,Very Good,G,SI2,63.4,58,4714,6.91,6.8,4.35
0.37,Ideal,F,SI1,61.3,55,583,4.61,4.65,2.84
0.9,Premium,D,SI1,61.2,60,4304,6.19,6.14,3.77
0.73,Ideal,E,SI2,61.8,58,2805,5.77,5.81,3.58
0.9,Very Good,J,SI2,63.3,59,2973,6.08,6.12,3.86
1.0,Good,H,VS2,56.9,63,5208,6.6,6.57,3.75
1.13,Very Good,E,SI1,62.7,57,4922,6.62,6.65,4.16
1.0,Good,G,SI1,62.5,65,4528,6.24,6.31,3.92
0.3,Ideal,H,SI1,61.6,57,572,4.28,4.32,2.65
0.73,Ideal,E,SI1,60.6,54,2803,5.84,5.89,3.55
1.03,Ideal,F,SI2,61.9,56,4280,6.47,6.43,3.99
1.01,Premium,H,SI1,61.8,59,4965,6.41,6.37,3.95
0.83,Ideal,H,VVS1,61.7,57,3570,6.02,6.07,3.73
0.72,Ideal,D,SI1,61.1,56,2891,5.78,5.81,3.54
0.71,Ideal,D,SI2,62.3,56,2762,5.73,5.69,3.56
1.21,Very Good,G,SI1,63.4,60,4637,6.68,6.63,4.22
0.91,Ideal,I,VVS1,60.0,57,4609,6.29,6.31,3.83
0.91,Premium,G,SI2,61.3,60,3363,6.2,6.17,3.79
0.32,Ideal,F,SI2,61.7,56,561,4.41,4.44,2.73
0.7,Ideal,G,VS1,61.2,56,3206,5.71,5.75,3.5
1.02,Ideal,F,SI2,61.8,57,4746,6.43,6.49,3.99
1.02,Premium,G,SI1,60.8,58,4718,6.5,6.46,3.94
0.71,Very Good,G,VVS2,62.8,58,3281,5.69,5.75,3.59
1.21,Good,J,VVS2,63.7,56,5028,6.71,6.67,4.26
0.8,Premium,G,VS2,59.6,59,3136,6.09,6.0,3.6
0.9,Ideal,H,SI2,61.8,56,4101,6.17,6.2,3.82
0.34,Premium,F,SI2,60.0,62,574,4.55,4.51,2.72
1.03,Premium,E,SI2,61.4,58,4328,6.49,6.45,3.97
0.96,Ideal,J,VS2,61.5,57,3326,6.32,6.36,3.9
1.02,Good,E,SI2,63.4,57,4712,6.41,6.43,4.07
0.75,Very Good,H,VVS2,60.6,57,3002,5.86,5.89,3.56
0.9,Very Good,D,SI2,63.2,57,3818,6.08,6.1,3.85
1.01,Ideal,F,SI1,62.3,55,5140,6.37,6.44,3.99
1.1,Very Good,H,SI1,63.5,55,4682,6.55,6.49,4.14
1.04,Ideal,F,SI1,61.4,59,5220,6.46,6.5,3.98
0.9,Good,D,SI1,61.9,62,4419,6.15,6.17,3.81
1.0,Very Good,I,SI1,63.0,58,4125,6.3,6.33,3.98
0.72,Very Good,G,VVS2,62.5,58,2889,5.68,5.72,3.56
1.03,Very Good,D,SI2,63.3,58,4963,6.38,6.42,4.05
0.9,Very Good,F,SI1,62.6,57,3950,6.16,6.2,3.87
1.08,Ideal,J,VS2,62.3,56,4093,6.6,6.53,4.09
1.06,Premium,F,SI1,61.0,58,5142,6.6,6.65,4.04
1.02,Fair,J,SI1,66.8,55,3027,6.25,6.18,4.15
1.01,Very Good,H,SI2,61.5,62,4262,6.35,6.44,3.93
0.72,Ideal,F,SI1,62.3,56,3004,5.77,5.79,3.6
0.34,Premium,G,SI2,62.8,59,574,4.47,4.45,2.8
0.32,Good,D,SI1,63.8,56,589,4.33,4.35,2.77
1.0,Good,I,SI1,57.6,61,3640,6.56,6.52,3.77
1.06,Very Good,F,SI2,62.6,60,4634,6.54,6.44,4.06
0.8,Premium,E,SI1,61.2,60,2912,5.97,5.95,3.65
1.01,Very Good,F,SI1,61.0,57,5174,6.44,6.54,3.96
0.91,Good,F,SI1,64.0,57,3363,6.17,6.08,3.92
0.31,Premium,D,SI2,61.5,60,593,4.34,4.31,2.66
0.93,Very Good,F,SI1,59.8,58,4256,6.32,6.39,3.8
0.72,Ideal,D,VS2,62.7,56,3219,5.65,5.71,3.56
0.32,Ideal,E,SI1,61.9,55,559,4.4,4.43,2.73
1.02,Ideal,H,SI2,60.5,60,4225,6.56,6.53,3.96
1.03,Very Good,H,SI1,61.4,57,4879,6.45,6.54,3.99
0.77,Premium,F,SI1,61.0,58,2856,5.94,5.9,3.61
0.33,Ideal,G,VS2,61.2,55,579,4.46,4.49,2.74
0.3,Ideal,F,VS2,62.3,58,569,4.26,4.23,2.64
1.0,Premium,F,SI1,62.3,59,5221,6.44,6.36,3.99
1.05,Very Good,E,SI2,62.3,56,4851,6.47,6.54,4.05
1.01,Premium,G,I1,59.4,61,3348,6.51,6.45,3.85
0.9,Very Good,F,SI1,62.7,59,4119,6.12,6.16,3.85
1.02,Ideal,I,SI2,62.7,57,3913,6.43,6.4,4.02
0.72,Very Good,E,VS1,63.1,56,3048,5.7,5.65,3.58
0.9,Fair,H,VS2,64.6,55,3538,6.07,6.0,3.9
0.91,Premium,G,SI2,62.8,59,3047,6.14,6.12,3.85
0.31,Premium,D,SI2,62.7,59,593,4.35,4.3,2.71
0.91,Very Good,D,SI1,62.0,60,4444,6.12,6.2,3.82
0.9,Ideal,I,SI1,60.8,57,3308,6.22,6.25,3.79
0.74,Ideal,G,VS1,61.5,56,3572,5.79,5.82,3.57
0.82,Ideal,E,VS1,60.0,55,3306,6.18,6.08,3.68
1.02,Ideal,H,SI1,61.9,57,5014,6.46,6.4,3.98
1.03,Ideal,G,SI1,62.4,57,4679,6.47,6.52,4.05
1.1,Very Good,H,SI2,59.8,60,4561,6.7,6.77,4.03
1.04,Premium,H,SI1,61.0,58,5090,6.6,6.54,4.01
1.01,Good,F,SI1,63.5,59,4759,6.3,6.39,4.03
0.73,Premium,E,VS1,62.6,60,2826,5.75,5.68,3.58
1.01,Ideal,D,SI2,62.0,57,4242,6.42,6.38,3.97
1.21,Fair,F,SI2,65.3,53,5028,6.74,6.68,4.38
0.9,Very Good,G,SI2,60.9,56,3581,6.18,6.24,3.78
0.76,Premium,D,VS2,61.7,59,3581,5.87,5.9,3.63
0.76,Ideal,G,VVS2,62.0,56,3927,5.86,5.88,3.64
0.6,Ideal,E,VVS1,62.0,54,3082,5.4,5.44,3.36
1.12,Premium,H,I1,59.1,61,2854,6.78,6.75,4.0
0.73,Ideal,G,VVS1,61.3,56,3667,5.79,5.82,3.56
0.37,Ideal,F,SI2,60.9,56,572,4.65,4.68,2.84
1.01,Good,J,VS1,60.4,64,4129,6.48,6.44,3.9
1.14,Very Good,J,VS1,60.0,60,4702,6.76,6.81,4.07
0.71,Very Good,E,VS2,59.6,60,2954,5.8,5.85,3.47
1.11,Very Good,I,SI2,61.2,61,3956,6.65,6.69,4.08
0.71,Very Good,E,SI1,62.9,55,2964,5.64,5.68,3.56
0.9,Fair,I,VVS2,60.9,66,3288,6.1,6.12,3.72
1.01,Very Good,I,VS2,62.3,60,4666,6.33,6.41,3.97
0.7,Very Good,E,VS1,61.3,60,2952,5.68,5.7,3.49
0.78,Ideal,E,SI1,60.4,57,3671,5.95,6.0,3.61
1.19,Premium,J,VS2,62.8,57,4761,6.78,6.7,4.23
0.87,Premium,D,SI1,62.1,58,4189,6.08,6.13,3.79
1.0,Ideal,D,SI1,60.2,57,4861,6.54,6.48,3.92
1.04,Very Good,I,SI2,61.6,58,3449,6.47,6.58,4.02
0.81,Very Good,H,VS1,63.6,57,3104,5.87,5.9,3.74
1.01,Good,E,SI1,60.9,64,4853,6.29,6.22,3.81
0.73,Very Good,E,VS1,63.0,60,3607,5.68,5.72,3.59
0.9,Premium,F,SI2,62.0,61,3704,6.16,6.14,3.81
1.27,Ideal,I,SI2,62.1,56,5249,6.96,6.92,4.31
0.72,Ideal,G,VVS2,61.2,57,3126,5.72,5.81,3.53
1.0,Ideal,H,SI2,61.2,57,4260,6.42,6.45,3.94
1.07,Premium,I,SI1,58.4,60,4075,6.78,6.68,3.93
1.0,Premium,G,SI2,59.0,62,3998,6.52,6.47,3.83
0.91,Very Good,D,SI2,61.5,56,4123,6.22,6.27,3.84
1.15,Very Good,H,SI2,61.4,58,4418,6.7,6.75,4.13
1.1,Premium,J,VS2,61.2,57,3696,6.66,6.61,4.06
1.01,Very Good,F,SI2,62.2,58,4332,6.33,6.38,3.95
1.04,Ideal,H,SI2,62.1,56,4404,6.48,6.5,4.03
1.0,Fair,E,SI2,64.6,54,3763,6.33,6.27,4.07
1.13,Ideal,H,SI1,61.3,57,4556,6.72,6.7,4.11
0.71,Ideal,D,SI1,61.7,57,2863,5.75,5.7,3.53
0.9,Good,D,SI1,63.8,58,4120,6.13,6.09,3.9
0.76,Premium,E,VS2,60.3,60,3107,5.97,5.94,3.59
0.32,Ideal,D,SI1,62.6,55,589,4.36,4.39,2.74
1.01,Very Good,D,SI2,62.7,58,4606,6.31,6.39,3.98
1.21,Good,J,SI2,60.4,56,4559,6.84,6.93,4.16
0.9,Premium,J,SI1,60.9,61,2873,6.26,6.22,3.8
0.75,Ideal,E,SI1,62.2,57,2985,5.82,5.86,3.63
1.02,Good,E,I1,63.1,60,3051,6.31,6.4,4.01
1.06,Ideal,E,SI2,60.9,57,5147,6.58,6.62,4.02
0.9,Ideal,J,SI1,62.6,54,3102,6.16,6.23,3.88
1.03,Good,G,SI2,63.7,60,4001,6.35,6.28,4.02
1.2,Very Good,H,I1,63.1,60,2850,6.75,6.67,4.23
0.77,Good,D,VS2,63.1,57,3489,5.83,5.86,3.69
1.01,Ideal,H,SI1,62.1,56,4886,6.38,6.47,3.99
0.85,Ideal,E,SI1,63.0,56,4089,6.0,6.04,3.79
1.13,Premium,F,SI2,58.3,61,4025,6.88,6.78,3.98
0.3,Very Good,I,SI1,62.6,57,405,4.25,4.28,2.67
1.01,Fair,H,SI1,64.6,55,4191,6.29,6.25,4.05
0.31,Ideal,G,VS2,61.7,55,562,4.37,4.39,2.7
0.7,Very Good,F,VVS2,61.3,59,3974,5.69,5.73,3.5
1.07,Ideal,I,VS2,60.6,59,5167,6.64,6.62,4.02
1.13,Very Good,I,VS2,61.6,57,4348,6.73,6.78,4.16
0.31,Premium,G,SI2,60.3,59,408,4.35,4.37,2.63
1.01,Ideal,E,SI1,61.6,57,5206,6.44,6.49,3.98
0.71,Ideal,G,VVS1,61.7,57,2982,5.7,5.75,3.53
0.8,Ideal,G,VS2,61.2,57,2969,6.02,6.07,3.7
1.02,Ideal,G,SI1,62.2,56,5044,6.46,6.44,4.01
0.71,Very Good,F,VS1,62.9,55,3175,5.68,5.71,3.58
1.21,Ideal,H,SI1,62.7,56,4249,6.81,6.78,4.26
1.2,Premium,J,SI1,60.6,59,4838,6.88,6.84,4.16
0.31,Premium,I,SI1,60.7,58,593,4.42,4.38,2.67
1.2,Premium,J,SI1,61.4,59,4838,6.87,6.82,4.2
0.91,Ideal,H,SI1,62.4,57,3635,6.18,6.23,3.87
0.9,Premium,E,SI2,61.3,60,3662,6.17,6.23,3.8
0.79,Ideal,H,VVS1,62.0,56,3675,5.92,5.96,3.68
1.17,Ideal,G,SI2,61.1,56,4725,6.8,6.86,4.17
1.13,Premium,H,I1,62.7,59,3480,6.58,6.63,4.14
1.37,Premium,J,SI2,60.7,60,5156,7.19,7.07,4.33
0.9,Ideal,G,SI1,61.9,57,4871,6.16,6.19,3.82
1.1,Ideal,F,I1,61.8,56,3678,6.61,6.65,4.1
0.71,Ideal,F,VS1,61.0,56,3701,5.77,5.8,3.53
1.04,Very Good,H,SI1,58.9,63,4484,6.59,6.55,3.87
0.91,Premium,E,VS2,62.3,58,5055,6.21,6.15,3.85
0.25,Premium,E,VS1,60.7,59,558,4.13,4.11,2.5
0.7,Ideal,F,VVS2,62.0,57,3160,5.68,5.74,3.54
0.32,Good,D,SI1,63.7,55,589,4.35,4.38,2.78
1.01,Ideal,I,VS2,62.0,54,5099,6.43,6.47,4.0
0.8,Ideal,F,SI1,61.0,56,3082,6.05,5.98,3.67
1.06,Ideal,H,SI1,60.8,54,4602,6.64,6.61,4.03
1.06,Very Good,F,SI1,62.3,56,4995,6.5,6.57,4.07
0.31,Good,H,SI1,63.6,57,558,4.31,4.28,2.73
0.73,Very Good,H,VS1,60.8,57,2916,5.8,5.83,3.54
0.93,Good,H,VS1,59.1,64,3500,6.36,6.27,3.73
0.83,Premium,F,VS2,61.9,58,3408,6.05,6.01,3.73
1.02,Very Good,H,VS2,62.5,56,5217,6.42,6.45,4.02
0.9,Ideal,J,VS2,62.8,55,2817,6.2,6.16,3.88
0.26,Very Good,H,VVS2,63.4,55,565,4.06,4.05,2.57
1.04,Fair,G,SI2,66.1,60,3564,6.32,6.23,4.15
1.01,Very Good,H,VS2,61.0,63,4959,6.38,6.41,3.9
0.76,Premium,D,VS2,60.9,58,2977,5.9,5.85,3.58
1.13,Good,G,I1,63.4,58,3127,6.58,6.61,4.18
0.71,Premium,F,VS2,62.1,58,2801,5.7,5.67,3.53
1.07,Premium,H,SI1,58.9,59,4235,6.76,6.71,3.97
0.71,Premium,F,VS1,58.6,62,3082,5.88,5.82,3.43
0.9,Premium,E,SI1,60.8,59,4463,6.19,6.24,3.78
0.93,Ideal,G,SI1,60.1,57,5126,6.33,6.41,3.83
1.11,Very Good,E,SI2,60.0,61,4170,6.66,6.71,4.01
1.07,Very Good,I,SI1,59.1,59,4728,6.68,6.71,3.96
0.9,Ideal,F,SI2,61.9,56,3796,6.19,6.24,3.85
0.72,Ideal,H,VS2,61.7,56,3122,5.74,5.77,3.56
